Sl No,Districts/Units,IPC/BNS Crimes,SLL Crimes
,Commissionerates,,
1,Bengaluru City,37181,19291
2,Mysuru City,2224,1040
3,Hubballi Dharwad City,1488,1160
4,Mangaluru City,2278,1205
5,Belagavi City,1655,652
6,Kalaburagi City,1730,1010
,Central Range,,
1,Bengaluru Dist,6433,1187
2,Bengaluru South,3644,936
3,Tumakuru,5961,2509
4,Kolar,2245,505
5,Chickballapura,2542,1619
6,K.G.F,782,360
,Eastern Range,,
1,Chitradurga,4098,1740
2,Davanagere,3385,1386
3,Shivamogga,4840,2155
4,Haveri,2406,1155
,Western Range,,
1,Dakshina Kannada,1816,417
2,Udupi,2249,752
3,Chikkamagaluru,2722,1488
4,Uttara Kannada,2334,1596
,Northern Range,,
1,Belagavi Dist,4535,2059
2,Bagalkot,2208,1362
3,Vijayapur,3062,1992
4,Dharwad,1016,625
5,Gadag,1043,1225
,North Eastern Range,,
1,Kalaburagi,2683,1025
2,Bidar,3054,1172
3,Yadgir,1622,1093
,Southern Range,,
1,Mysuru Dist,4952,912
2,Mandya,4780,1150
3,Chamarajanagar,2068,844
4,Hassan,4781,1366
5,Kodagu,1724,600
,Ballari Range,,
1,Ballari,1924,1961
2,Koppal,1945,1255
3,Raichur,2813,1458
4,Vijayanagara,1781,1467
,Karnataka Railways,662,138
,STATE,138666,63867
